Program:    MAESTEST: Version September 2001                            
Control:    ***  SAMPLE CONTROL  ***                                    
Trees:      *** SAMPLE TREES FILE ***                                   
Structure:  *** SAMPLE STR FILE ***                                     
Points:     Sample points file                                          
Met data:   *** SAMPLE MET FILE : HALF-HOURLY DATA ***                  
 
 PT        BEAM         DIFF         SCAT        TOTAL
HOUR: 10  INCIDENT PAR:   427.77 UMOL M-2 S-1
  1      0.00380      0.00878      0.00804      0.02062
  2      2.84214      3.99330      0.89164      7.72709
  3     35.07473     23.11466      2.77721     60.96659
  4     71.42245     52.78354      4.56244    128.76843
  5     33.93298     88.85234      5.97917    128.76448
  6     38.45422    109.51659      6.58924    154.56004
HOUR: 11  INCIDENT PAR:   560.40 UMOL M-2 S-1
  1      0.00535      0.01029      0.01017      0.02582
  2      4.01185      4.68082      1.16394      9.85662
  3     51.13292     27.09426      3.69709     81.92426
  4    101.07361     61.87117      6.10952    169.05431
  5    171.37476    104.14986      7.96455    283.48917
  6     89.78448    128.37183      8.70377    226.86008
HOUR: 12  INCIDENT PAR:   699.00 UMOL M-2 S-1
  1      0.00574      0.01145      0.01252      0.02970
  2      5.43440      5.20621      1.47927     12.11989
  3     67.20344     30.13540      4.73889    102.07773
  4    141.27521     68.81577      7.78521    217.87617
  5     35.25393    115.83994     10.01303    161.10690
  6     14.01542    142.78064     10.82191    167.61798
HOUR: 13  INCIDENT PAR:   838.67 UMOL M-2 S-1
  1      0.00462      0.01225      0.01529      0.03216
  2      7.13695      5.56885      1.84742     14.55322
  3     80.40683     32.23448      5.87381    118.51512
  4      1.31636     73.60914      9.50120     84.42670
  5     26.10416    123.90879     12.00486    162.01781
  6    169.50514    152.72606     12.82489    335.05609
HOUR: 14  INCIDENT PAR:   976.67 UMOL M-2 S-1
  1      0.00416      0.01276      0.01887      0.03579
  2      7.85700      5.80205      2.27410     15.93316
  3     93.88475     33.58433      7.06628    134.53535
  4      0.25935     76.69160     11.18939     88.14034
  5     28.39255    129.09760     13.87201    171.36215
  6    154.45430    159.12160     14.65765    328.23355
HOUR: 15  INCIDENT PAR:  1110.00 UMOL M-2 S-1
  1      0.00431      0.01307      0.02371      0.04110
  2      7.13005      5.94391      2.74947     15.82343
  3    108.22758     34.40547      8.26468    150.89774
  4    243.29449     78.56670     12.78758    334.64877
  5     38.90864    132.25401     15.56994    186.73259
  6    478.37775    163.01212     16.29306    657.68292
HOUR: 16  INCIDENT PAR:  1239.67 UMOL M-2 S-1
  1      0.00332      0.01331      0.03037      0.04700
  2      6.47046      6.05151      3.26590     15.78786
  3    116.03130     35.02826      9.45192    160.51147
  4    265.05301     79.98888     14.29628    359.33817
  5    544.15204    134.64803     17.12600    695.92609
  6      0.93083    165.96291     17.77280    184.66653
HOUR: 17  INCIDENT PAR:  1272.33 UMOL M-2 S-1
  1      0.00173      0.01263      0.03668      0.05103
  2      5.71482      5.74316      3.55200     15.00998
  3    107.95969     33.24342      9.88718    151.09029
  4    267.26050     75.91312     14.64030    357.81390
  5    553.23901    127.78715     17.28754    698.31372
  6    786.48785    157.50639     17.81319    961.80743
HOUR: 18  INCIDENT PAR:  1438.00 UMOL M-2 S-1
  1      0.00070      0.01341      0.04917      0.06329
  2      6.02079      6.09808      4.22573     16.34460
  3    104.15285     35.29784     11.33777    150.78847
  4    301.08838     80.60448     16.47464    398.16751
  5    607.56488    135.68428     19.21642    762.46558
  6    903.98206    167.24016     19.68387   1090.90613
HOUR: 19  INCIDENT PAR:  1426.33 UMOL M-2 S-1
  1      0.00020      0.01269      0.05737      0.07026
  2      6.10189      5.77318      4.37572     16.25079
  3     84.40250     33.41718     11.36493    129.18460
  4    303.40048     76.30988     16.25262    395.96298
  5    577.79401    128.45505     18.76749    725.01654
  6     22.76567    158.32962     19.13261    200.22791
HOUR: 20  INCIDENT PAR:  1610.33 UMOL M-2 S-1
  1      0.00006      0.01388      0.07462      0.08855
  2      7.70645      6.31053      5.11234     19.12931
  3     77.49345     36.52755     12.92503    126.94603
  4    355.03128     83.41259     18.24774    456.69162
  5    624.26257    140.41127     20.90522    785.57904
  6   1041.99951    173.06650     21.23342   1236.29944
HOUR: 21  INCIDENT PAR:  1251.67 UMOL M-2 S-1
  1      0.00001      0.02187      0.05510      0.07699
  2      4.90961      9.94554      3.87187     18.72701
  3     34.86496     57.56827      9.96188    102.39510
  4    197.47595    131.46019     14.21305    343.14920
  5    319.03378    221.29143     16.40359    556.72882
  6    557.41431    272.75684     16.72282    846.89398
HOUR: 22  INCIDENT PAR:  1538.00 UMOL M-2 S-1
  1      0.00001      0.01586      0.08329      0.09917
  2     10.54121      7.21403      5.03554     22.79077
  3     54.99071     41.75733     12.40130    109.14934
  4      0.00000     95.35506     17.30894    112.66400
  5      0.03784    160.51443     19.69948    180.25175
  6      6.61537    197.84502     19.95007    224.41046
HOUR: 23  INCIDENT PAR:  1602.33 UMOL M-2 S-1
  1      0.00002      0.01475      0.09273      0.10750
  2     15.03006      6.70764      5.33184     27.06954
  3     62.53878     38.82618     12.96039    114.32535
  4    413.92728     88.66162     17.97507    520.56396
  5    591.68286    149.24715     20.37758    761.30756
  6   1047.27063    183.95731     20.59900   1251.82690
HOUR: 24  INCIDENT PAR:   774.20 UMOL M-2 S-1
  1      0.00000      0.02503      0.02472      0.04975
  2      1.48365     11.38172      2.18295     15.04832
  3      5.38843     65.88139      5.99609     77.26591
  4     33.09827    150.44363      8.83419    192.37610
  5     46.04519    253.24692     10.39915    309.69125
  6     78.79226    312.14413     10.71834    401.65472
HOUR: 25  INCIDENT PAR:   672.37 UMOL M-2 S-1
  1      0.00000      0.02336      0.01972      0.04308
  2      0.71804     10.62563      1.86780     13.21147
  3      2.44796     61.50490      5.20368     69.15653
  4     13.05863    140.44968      7.71586    161.22415
  5     17.98590    236.42375      9.12024    263.52988
  6     29.30418    291.40845      9.40911    330.12173
HOUR: 26  INCIDENT PAR:   564.37 UMOL M-2 S-1
  1      0.00000      0.02039      0.01572      0.03612
  2      0.17448      9.27246      1.55455     11.00149
  3      0.58460     53.67228      4.36608     58.62296
  4      2.62901    122.56348      6.49718    131.68968
  5      3.61960    206.31531      7.69744    217.63235
  6      5.58749    254.29773      7.94541    267.83063
HOUR: 27  INCIDENT PAR:   574.30 UMOL M-2 S-1
  1      0.00002      0.02061      0.01609      0.03671
  2      0.35385      9.37361      1.58349     11.31095
  3      1.19346     54.25776      4.44302     59.89423
  4      4.51943    123.90044      6.60862    135.02850
  5      6.24538    208.56586      7.82706    222.63829
  6      9.15725    257.07169      8.07872    274.30765
HOUR: 28  INCIDENT PAR:   977.77 UMOL M-2 S-1
  1      0.00163      0.02409      0.03528      0.06100
  2     13.54180     10.95601      2.87341     27.37123
  3     46.51904     63.41727      7.68884    117.62515
  4    150.69971    144.81670     11.18113    306.69754
  5    209.31036    243.77490     13.05912    466.14438
  6    293.40637    300.46924     13.38810    607.26373
HOUR: 29  INCIDENT PAR:  1046.23 UMOL M-2 S-1
  1      0.00639      0.02218      0.03697      0.06554
  2     21.72252     10.08859      3.07603     34.88714
  3     76.37152     58.39633      8.23679    143.00464
  4    216.15210    133.35110     11.97246    361.47568
  5    207.90254    224.47447     13.97505    446.35205
  6    298.53912    276.68015     14.32188    589.54114
HOUR: 30  INCIDENT PAR:   518.00 UMOL M-2 S-1
  1      0.00042      0.01848      0.01435      0.03325
  2      0.67424      8.40391      1.42561     10.50375
  3      2.43194     48.64478      4.00569     55.08241
  4      6.03161    111.08291      5.96145    123.07597
  5      0.41838    186.98967      7.06273    194.47078
  6      3.23586    230.47755      7.29101    241.00443
HOUR: 31  INCIDENT PAR:   698.50 UMOL M-2 S-1
  1      0.01014      0.02038      0.01968      0.05020
  2      8.59706      9.26727      1.93485     19.79918
  3     31.86579     53.64220      5.41573     90.92372
  4      0.02965    122.49480      8.04348    130.56793
  5      0.00773    206.19969      9.51708    215.72450
  6      1.33488    254.15521      9.81595    265.30603
HOUR: 32  INCIDENT PAR:  1165.67 UMOL M-2 S-1
  1      0.10829      0.01227      0.02963      0.15019
  2     54.27382      5.57826      3.11479     62.96687
  3    207.41048     32.28895      8.93156    248.63098
  4     76.54610     73.73352     13.43921    163.71884
  5    399.11118    124.11816     16.04169    539.27100
  6      0.00000    152.98412     16.61773    169.60185
HOUR: 33  INCIDENT PAR:  1139.33 UMOL M-2 S-1
  1      0.16506      0.01311      0.02506      0.20323
  2     53.44093      5.96212      2.86384     62.26690
  3    211.15025     34.51086      8.53436    254.19548
  4    419.35953     78.80737     13.13335    511.30026
  5      0.04412    132.65915     15.92720    148.63048
  6      0.81561    163.51147     16.63237    180.95946
HOUR: 34  INCIDENT PAR:   834.30 UMOL M-2 S-1
  1      0.15422      0.01225      0.01698      0.18345
  2     34.96729      5.57220      1.99724     42.53672
  3    143.67230     32.25383      6.11075    182.03688
  4    270.15839     73.65334      9.57859    353.39032
  5    388.49701    123.98318     11.78415    524.26434
  6    431.78278    152.81775     12.40104    597.00159
HOUR: 35  INCIDENT PAR:   704.03 UMOL M-2 S-1
  1      0.15046      0.01140      0.01353      0.17539
  2     28.33519      5.18463      1.60197     35.12179
  3    117.08373     30.01045      5.01195    152.10614
  4    214.30492     68.53046      8.01125    290.84662
  5    308.16870    115.35966     10.02511    433.55347
  6    363.11612    142.18867     10.65300    515.95776
HOUR: 36  INCIDENT PAR:   327.07 UMOL M-2 S-1
  1      0.01063      0.01094      0.00851      0.03008
  2      2.19879      4.97428      0.86768      8.04075
  3      8.27564     28.79289      2.48198     39.55051
